sentence,skill,label
Studied the fundamentals of Deep Learning in class.,Deep Learning,Beginner
Exposed to MongoDB during a university project.,MongoDB,Beginner
Used PyTorch extensively during a semester-long project.,PyTorch,Intermediate
Have shipped a couple of side projects built with Flask.,Flask,Intermediate
Used TypeScript to build a personal project.,TypeScript,Intermediate
Trained the engineering team on advanced React concepts.,React,Expert
Familiar with Go through coursework.,Go,Beginner
Used Go to build a personal project.,Go,Intermediate
Used Go extensively during a semester-long project.,Go,Intermediate
Worked with Python for several months on a team project.,Python,Intermediate
Took an online tutorial on MongoDB.,MongoDB,Beginner
Architected scalable solutions using Deep Learning for enterprise clients.,Deep Learning,Expert
Developed features using C++ in a small team.,C++,Intermediate
Implemented core functionality with SQL in a group project.,SQL,Intermediate
Contributed to open-source projects related to Linux.,Linux,Expert
Five years of professional experience with TypeScript.,TypeScript,Expert
Built a full application using Go.,Go,Intermediate
Comfortable writing SQL code for medium-sized applications.,SQL,Intermediate
Currently learning Kubernetes as part of a bootcamp.,Kubernetes,Beginner
Applied Python to solve practical problems in coursework.,Python,Intermediate
"New to Node.js, still getting comfortable with the basics.",Node.js,Beginner
Contributed to open-source projects related to Python.,Python,Expert
Published technical talks on advanced SQL techniques.,SQL,Expert
Recognized internally as the go-to expert on NestJS.,NestJS,Expert
Drove major performance improvements in a GraphQL-based system.,GraphQL,Expert
Have shipped a couple of side projects built with PHP.,PHP,Intermediate
Applied MongoDB to solve practical problems in coursework.,MongoDB,Intermediate
Optimized performance-critical systems built with Django.,Django,Expert
Have shipped a couple of side projects built with React.,React,Intermediate
Have shipped a couple of side projects built with CI/CD.,CI/CD,Intermediate
Can independently build features using PyTorch with some guidance.,PyTorch,Intermediate
Basic understanding of Flask.,Flask,Beginner
Architected scalable solutions using Flask for enterprise clients.,Flask,Expert
Wrote a few small scripts using Docker.,Docker,Beginner
Trained the engineering team on advanced Next.js concepts.,Next.js,Expert
Worked with Flask for several months on a team project.,Flask,Intermediate
Can independently build features using Git with some guidance.,Git,Intermediate
Built and maintained mission-critical infrastructure with PostgreSQL.,PostgreSQL,Expert
Built a full application using TensorFlow.,TensorFlow,Intermediate
Basic understanding of PyTorch.,PyTorch,Beginner
Comfortable writing REST API code for medium-sized applications.,REST API,Intermediate
Trained the engineering team on advanced SQL concepts.,SQL,Expert
Exposed to PostgreSQL during a university project.,PostgreSQL,Beginner
Trained the engineering team on advanced NestJS concepts.,NestJS,Expert
Implemented core functionality with MongoDB in a group project.,MongoDB,Intermediate
Studied the fundamentals of JavaScript in class.,JavaScript,Beginner
Used MongoDB to build a personal project.,MongoDB,Intermediate
Extensive production experience with Docker at scale.,Docker,Expert
Familiar with Docker through coursework.,Docker,Beginner
Started exploring Node.js recently.,Node.js,Beginner
Took an online tutorial on Next.js.,Next.js,Beginner
Implemented core functionality with PostgreSQL in a group project.,PostgreSQL,Intermediate
Built and maintained mission-critical infrastructure with Docker.,Docker,Expert
Started exploring Flask recently.,Flask,Beginner
Studied the fundamentals of Node.js in class.,Node.js,Beginner
Designed the core architecture of a large-scale Docker application.,Docker,Expert
Following a beginner course on MongoDB right now.,MongoDB,Beginner
Trained the engineering team on advanced C++ concepts.,C++,Expert
Worked with Kubernetes for several months on a team project.,Kubernetes,Intermediate
Comfortable writing CI/CD code for medium-sized applications.,CI/CD,Intermediate
"Deep expertise in REST API, including advanced patterns and internals.",REST API,Expert
Familiar with CI/CD through coursework.,CI/CD,Beginner
Mentored junior developers on best practices in Linux.,Linux,Expert
Some hands-on experience with Java in small assignments.,Java,Beginner
Implemented core functionality with CI/CD in a group project.,CI/CD,Intermediate
Familiar with NestJS through coursework.,NestJS,Beginner
"New to PostgreSQL, still getting comfortable with the basics.",PostgreSQL,Beginner
Studied the fundamentals of Go in class.,Go,Beginner
Regularly use Git for day-to-day development tasks.,Git,Intermediate
Some hands-on experience with Go in small assignments.,Go,Beginner
Published technical talks on advanced React techniques.,React,Expert
Led a team building production systems with AWS.,AWS,Expert
Only used TensorFlow in a couple of homework assignments.,TensorFlow,Beginner
Started exploring Docker recently.,Docker,Beginner
Five years of professional experience with Flask.,Flask,Expert
Owned the technical roadmap for a major PyTorch migration.,PyTorch,Expert
Architected scalable solutions using PHP for enterprise clients.,PHP,Expert
Applied GraphQL to solve practical problems in coursework.,GraphQL,Intermediate
Implemented core functionality with REST API in a group project.,REST API,Intermediate
Applied C++ to solve practical problems in coursework.,C++,Intermediate
Wrote a few small scripts using Git.,Git,Beginner
Drove major performance improvements in a Go-based system.,Go,Expert
Contributed to a project using Flask during an internship.,Flask,Intermediate
Comfortable writing Git code for medium-sized applications.,Git,Intermediate
Owned the technical roadmap for a major REST API migration.,REST API,Expert
Two years of hands-on experience with Docker.,Docker,Intermediate
Two years of hands-on experience with PostgreSQL.,PostgreSQL,Intermediate
Following a beginner course on Redis right now.,Redis,Beginner
Contributed to open-source projects related to Flask.,Flask,Expert
Only used Go in a couple of homework assignments.,Go,Beginner
Architected scalable solutions using PyTorch for enterprise clients.,PyTorch,Expert
Drove major performance improvements in a Linux-based system.,Linux,Expert
Contributed to a project using Redis during an internship.,Redis,Intermediate
Recognized internally as the go-to expert on MongoDB.,MongoDB,Expert
Built and maintained mission-critical infrastructure with Java.,Java,Expert
Studied the fundamentals of GraphQL in class.,GraphQL,Beginner
Recognized internally as the go-to expert on AWS.,AWS,Expert
Led a team building production systems with Docker.,Docker,Expert
Published technical talks on advanced Redis techniques.,Redis,Expert
Led a team building production systems with React.,React,Expert
Developed features using Django in a small team.,Django,Intermediate
Only used Java in a couple of homework assignments.,Java,Beginner
Two years of hands-on experience with Python.,Python,Intermediate
Built a full application using JavaScript.,JavaScript,Intermediate
Architected scalable solutions using TensorFlow for enterprise clients.,TensorFlow,Expert
Drove major performance improvements in a TypeScript-based system.,TypeScript,Expert
Led a team building production systems with Kubernetes.,Kubernetes,Expert
Currently learning TensorFlow as part of a bootcamp.,TensorFlow,Beginner
Wrote a few small scripts using Deep Learning.,Deep Learning,Beginner
Used SQL extensively during a semester-long project.,SQL,Intermediate
Can independently build features using TensorFlow with some guidance.,TensorFlow,Intermediate
Familiar with PyTorch through coursework.,PyTorch,Beginner
Currently learning AWS as part of a bootcamp.,AWS,Beginner
Comfortable writing NestJS code for medium-sized applications.,NestJS,Intermediate
Following a beginner course on Next.js right now.,Next.js,Beginner
Worked with C++ for several months on a team project.,C++,Intermediate
Used AWS extensively during a semester-long project.,AWS,Intermediate
Familiar with Python through coursework.,Python,Beginner
Trained the engineering team on advanced REST API concepts.,REST API,Expert
Only used PostgreSQL in a couple of homework assignments.,PostgreSQL,Beginner
One year of experience working with CI/CD.,CI/CD,Intermediate
Contributed to open-source projects related to Kubernetes.,Kubernetes,Expert
Beginner-level knowledge of C++.,C++,Beginner
Completed an introductory course in TypeScript.,TypeScript,Beginner
Following a beginner course on JavaScript right now.,JavaScript,Beginner
Have shipped a couple of side projects built with NestJS.,NestJS,Intermediate
"Deep expertise in Git, including advanced patterns and internals.",Git,Expert
Trained the engineering team on advanced MongoDB concepts.,MongoDB,Expert
Solid working knowledge of NestJS from an internship.,NestJS,Intermediate
Developed features using Docker in a small team.,Docker,Intermediate
Two years of hands-on experience with Go.,Go,Intermediate
Comfortable writing Python code for medium-sized applications.,Python,Intermediate
Comfortable writing PyTorch code for medium-sized applications.,PyTorch,Intermediate
Architected scalable solutions using SQL for enterprise clients.,SQL,Expert
Built a full application using PostgreSQL.,PostgreSQL,Intermediate
Exposed to Redis during a university project.,Redis,Beginner
Some hands-on experience with TypeScript in small assignments.,TypeScript,Beginner
Built and maintained mission-critical infrastructure with PyTorch.,PyTorch,Expert
Mentored junior developers on best practices in Next.js.,Next.js,Expert
Two years of hands-on experience with Kubernetes.,Kubernetes,Intermediate
Completed an introductory course in Git.,Git,Beginner
Comfortable writing Kubernetes code for medium-sized applications.,Kubernetes,Intermediate
One year of experience working with NestJS.,NestJS,Intermediate
Led a team building production systems with Deep Learning.,Deep Learning,Expert
Used Next.js to build a personal project.,Next.js,Intermediate
Basic understanding of Deep Learning.,Deep Learning,Beginner
Architected scalable solutions using Tailwind CSS for enterprise clients.,Tailwind CSS,Expert
"Deep expertise in Flask, including advanced patterns and internals.",Flask,Expert
Contributed to a project using Machine Learning during an internship.,Machine Learning,Intermediate
Built a full application using Django.,Django,Intermediate
Published technical talks on advanced PHP techniques.,PHP,Expert
Some hands-on experience with REST API in small assignments.,REST API,Beginner
Took an online tutorial on REST API.,REST API,Beginner
Have read the documentation for Deep Learning but limited practical use.,Deep Learning,Beginner
Started exploring Java recently.,Java,Beginner
One year of experience working with Go.,Go,Intermediate
Used TypeScript extensively during a semester-long project.,TypeScript,Intermediate
Recognized internally as the go-to expert on Python.,Python,Expert
Studied the fundamentals of Next.js in class.,Next.js,Beginner
Contributed to a project using SQL during an internship.,SQL,Intermediate
Used Kubernetes to build a personal project.,Kubernetes,Intermediate
Beginner-level knowledge of Next.js.,Next.js,Beginner
"New to Python, still getting comfortable with the basics.",Python,Beginner
Used GraphQL to build a personal project.,GraphQL,Intermediate
Basic understanding of SQL.,SQL,Beginner
Mentored junior developers on best practices in Redis.,Redis,Expert
One year of experience working with PyTorch.,PyTorch,Intermediate
Can independently build features using JavaScript with some guidance.,JavaScript,Intermediate
Wrote a few small scripts using PostgreSQL.,PostgreSQL,Beginner
Wrote a few small scripts using Machine Learning.,Machine Learning,Beginner
Built and maintained mission-critical infrastructure with TensorFlow.,TensorFlow,Expert
Some hands-on experience with Deep Learning in small assignments.,Deep Learning,Beginner
Built and maintained mission-critical infrastructure with React.,React,Expert
Worked with REST API for several months on a team project.,REST API,Intermediate
Can independently build features using Python with some guidance.,Python,Intermediate
Two years of hands-on experience with Redis.,Redis,Intermediate
Built and maintained mission-critical infrastructure with Kubernetes.,Kubernetes,Expert
Wrote a few small scripts using TypeScript.,TypeScript,Beginner
Built a full application using MongoDB.,MongoDB,Intermediate
Basic understanding of REST API.,REST API,Beginner
Two years of hands-on experience with Django.,Django,Intermediate
Completed an introductory course in MongoDB.,MongoDB,Beginner
One year of experience working with JavaScript.,JavaScript,Intermediate
Completed an introductory course in Django.,Django,Beginner
Five years of professional experience with PostgreSQL.,PostgreSQL,Expert
Contributed to open-source projects related to React.,React,Expert
Architected scalable solutions using Java for enterprise clients.,Java,Expert
Owned the technical roadmap for a major Redis migration.,Redis,Expert
Built and maintained mission-critical infrastructure with SQL.,SQL,Expert
Designed the core architecture of a large-scale Go application.,Go,Expert
Completed an introductory course in C++.,C++,Beginner
Contributed to open-source projects related to Next.js.,Next.js,Expert
Contributed to a project using C++ during an internship.,C++,Intermediate
Completed an introductory course in TensorFlow.,TensorFlow,Beginner
Designed the core architecture of a large-scale PHP application.,PHP,Expert
Solid working knowledge of Git from an internship.,Git,Intermediate
Worked with PHP for several months on a team project.,PHP,Intermediate
Contributed to a project using JavaScript during an internship.,JavaScript,Intermediate
Mentored junior developers on best practices in Docker.,Docker,Expert
Currently learning Git as part of a bootcamp.,Git,Beginner
Regularly use Tailwind CSS for day-to-day development tasks.,Tailwind CSS,Intermediate
One year of experience working with C++.,C++,Intermediate
Applied Kubernetes to solve practical problems in coursework.,Kubernetes,Intermediate
Worked with PyTorch for several months on a team project.,PyTorch,Intermediate
Contributed to a project using Tailwind CSS during an internship.,Tailwind CSS,Intermediate
Two years of hands-on experience with Node.js.,Node.js,Intermediate
Implemented core functionality with PyTorch in a group project.,PyTorch,Intermediate
Architected scalable solutions using REST API for enterprise clients.,REST API,Expert
Designed the core architecture of a large-scale AWS application.,AWS,Expert
Solid working knowledge of Redis from an internship.,Redis,Intermediate
Exposed to PyTorch during a university project.,PyTorch,Beginner
Wrote a few small scripts using SQL.,SQL,Beginner
Only used Linux in a couple of homework assignments.,Linux,Beginner
Extensive production experience with SQL at scale.,SQL,Expert
"Deep expertise in AWS, including advanced patterns and internals.",AWS,Expert
Have read the documentation for TypeScript but limited practical use.,TypeScript,Beginner
Familiar with PostgreSQL through coursework.,PostgreSQL,Beginner
Completed an introductory course in Python.,Python,Beginner
Built and maintained mission-critical infrastructure with Linux.,Linux,Expert
Led a team building production systems with Git.,Git,Expert
One year of experience working with Kubernetes.,Kubernetes,Intermediate
Trained the engineering team on advanced Django concepts.,Django,Expert
Completed an introductory course in NestJS.,NestJS,Beginner
Studied the fundamentals of Docker in class.,Docker,Beginner
Solid working knowledge of Linux from an internship.,Linux,Intermediate
Used Django extensively during a semester-long project.,Django,Intermediate
One year of experience working with Git.,Git,Intermediate
Used GraphQL extensively during a semester-long project.,GraphQL,Intermediate
Have shipped a couple of side projects built with TypeScript.,TypeScript,Intermediate
Only used Flask in a couple of homework assignments.,Flask,Beginner
Used JavaScript to build a personal project.,JavaScript,Intermediate
Used Tailwind CSS to build a personal project.,Tailwind CSS,Intermediate
Owned the technical roadmap for a major SQL migration.,SQL,Expert
Implemented core functionality with JavaScript in a group project.,JavaScript,Intermediate
Implemented core functionality with Django in a group project.,Django,Intermediate
Exposed to Linux during a university project.,Linux,Beginner
Contributed to open-source projects related to PyTorch.,PyTorch,Expert
Took an online tutorial on PHP.,PHP,Beginner
Designed the core architecture of a large-scale MongoDB application.,MongoDB,Expert
Built a full application using Node.js.,Node.js,Intermediate
Started exploring Machine Learning recently.,Machine Learning,Beginner
Drove major performance improvements in a C++-based system.,C++,Expert
Used Python to build a personal project.,Python,Intermediate
Worked with CI/CD for several months on a team project.,CI/CD,Intermediate
Published technical talks on advanced JavaScript techniques.,JavaScript,Expert
"New to TypeScript, still getting comfortable with the basics.",TypeScript,Beginner
Have read the documentation for Docker but limited practical use.,Docker,Beginner
Studied the fundamentals of PyTorch in class.,PyTorch,Beginner
Mentored junior developers on best practices in SQL.,SQL,Expert
Used Deep Learning extensively during a semester-long project.,Deep Learning,Intermediate
Used TensorFlow extensively during a semester-long project.,TensorFlow,Intermediate
Studied the fundamentals of React in class.,React,Beginner
Used Tailwind CSS extensively during a semester-long project.,Tailwind CSS,Intermediate
Have shipped a couple of side projects built with JavaScript.,JavaScript,Intermediate
Built a full application using React.,React,Intermediate
Implemented core functionality with Kubernetes in a group project.,Kubernetes,Intermediate
Drove major performance improvements in a Tailwind CSS-based system.,Tailwind CSS,Expert
Following a beginner course on TensorFlow right now.,TensorFlow,Beginner
Optimized performance-critical systems built with JavaScript.,JavaScript,Expert
Drove major performance improvements in a PHP-based system.,PHP,Expert
Can independently build features using Django with some guidance.,Django,Intermediate
Have shipped a couple of side projects built with Machine Learning.,Machine Learning,Intermediate
Regularly use PyTorch for day-to-day development tasks.,PyTorch,Intermediate
Have read the documentation for Git but limited practical use.,Git,Beginner
Regularly use PostgreSQL for day-to-day development tasks.,PostgreSQL,Intermediate
Regularly use C++ for day-to-day development tasks.,C++,Intermediate
Basic understanding of NestJS.,NestJS,Beginner
Designed the core architecture of a large-scale Kubernetes application.,Kubernetes,Expert
Used Linux extensively during a semester-long project.,Linux,Intermediate
Have read the documentation for NestJS but limited practical use.,NestJS,Beginner
Wrote a few small scripts using Tailwind CSS.,Tailwind CSS,Beginner
Developed features using TypeScript in a small team.,TypeScript,Intermediate
Have shipped a couple of side projects built with PostgreSQL.,PostgreSQL,Intermediate
"New to C++, still getting comfortable with the basics.",C++,Beginner
Wrote a few small scripts using PHP.,PHP,Beginner
Used Docker to build a personal project.,Docker,Intermediate
Architected scalable solutions using GraphQL for enterprise clients.,GraphQL,Expert
Led a team building production systems with Go.,Go,Expert
Beginner-level knowledge of Flask.,Flask,Beginner
Contributed to a project using REST API during an internship.,REST API,Intermediate
Trained the engineering team on advanced Git concepts.,Git,Expert
Built and maintained mission-critical infrastructure with GraphQL.,GraphQL,Expert
Published technical talks on advanced Kubernetes techniques.,Kubernetes,Expert
One year of experience working with GraphQL.,GraphQL,Intermediate
Contributed to a project using Go during an internship.,Go,Intermediate
Built a full application using Docker.,Docker,Intermediate
Optimized performance-critical systems built with Kubernetes.,Kubernetes,Expert
Currently learning Python as part of a bootcamp.,Python,Beginner
Designed the core architecture of a large-scale Machine Learning application.,Machine Learning,Expert
Only used JavaScript in a couple of homework assignments.,JavaScript,Beginner
Contributed to a project using TensorFlow during an internship.,TensorFlow,Intermediate
Have shipped a couple of side projects built with Deep Learning.,Deep Learning,Intermediate
Architected scalable solutions using MongoDB for enterprise clients.,MongoDB,Expert
Contributed to open-source projects related to Git.,Git,Expert
"New to AWS, still getting comfortable with the basics.",AWS,Beginner
Some hands-on experience with Flask in small assignments.,Flask,Beginner
Architected scalable solutions using React for enterprise clients.,React,Expert
Comfortable writing Linux code for medium-sized applications.,Linux,Intermediate
Developed features using PostgreSQL in a small team.,PostgreSQL,Intermediate
Built and maintained mission-critical infrastructure with PHP.,PHP,Expert
Beginner-level knowledge of Linux.,Linux,Beginner
Contributed to a project using CI/CD during an internship.,CI/CD,Intermediate
Drove major performance improvements in a Next.js-based system.,Next.js,Expert
Familiar with Kubernetes through coursework.,Kubernetes,Beginner
Comfortable writing GraphQL code for medium-sized applications.,GraphQL,Intermediate
Extensive production experience with Linux at scale.,Linux,Expert
Trained the engineering team on advanced CI/CD concepts.,CI/CD,Expert
Comfortable writing PostgreSQL code for medium-sized applications.,PostgreSQL,Intermediate
One year of experience working with React.,React,Intermediate
"Deep expertise in PyTorch, including advanced patterns and internals.",PyTorch,Expert
Familiar with Linux through coursework.,Linux,Beginner
Familiar with Redis through coursework.,Redis,Beginner
Designed the core architecture of a large-scale PostgreSQL application.,PostgreSQL,Expert
Designed the core architecture of a large-scale React application.,React,Expert
Recognized internally as the go-to expert on TensorFlow.,TensorFlow,Expert
One year of experience working with Flask.,Flask,Intermediate
Contributed to open-source projects related to MongoDB.,MongoDB,Expert
Optimized performance-critical systems built with GraphQL.,GraphQL,Expert
Led a team building production systems with Machine Learning.,Machine Learning,Expert
Architected scalable solutions using Next.js for enterprise clients.,Next.js,Expert
Familiar with Machine Learning through coursework.,Machine Learning,Beginner
Extensive production experience with TypeScript at scale.,TypeScript,Expert
"New to Redis, still getting comfortable with the basics.",Redis,Beginner
Recognized internally as the go-to expert on SQL.,SQL,Expert
Trained the engineering team on advanced JavaScript concepts.,JavaScript,Expert
Have read the documentation for React but limited practical use.,React,Beginner
Two years of hands-on experience with Flask.,Flask,Intermediate
Contributed to open-source projects related to Java.,Java,Expert
Completed an introductory course in PostgreSQL.,PostgreSQL,Beginner
Published technical talks on advanced Docker techniques.,Docker,Expert
Wrote a few small scripts using NestJS.,NestJS,Beginner
Built a full application using GraphQL.,GraphQL,Intermediate
"New to Flask, still getting comfortable with the basics.",Flask,Beginner
Studied the fundamentals of Git in class.,Git,Beginner
One year of experience working with Django.,Django,Intermediate
Following a beginner course on Go right now.,Go,Beginner
Comfortable writing React code for medium-sized applications.,React,Intermediate
Published technical talks on advanced Python techniques.,Python,Expert
Following a beginner course on SQL right now.,SQL,Beginner
Worked with GraphQL for several months on a team project.,GraphQL,Intermediate
Wrote a few small scripts using Kubernetes.,Kubernetes,Beginner
Regularly use CI/CD for day-to-day development tasks.,CI/CD,Intermediate
Contributed to open-source projects related to SQL.,SQL,Expert
Applied Go to solve practical problems in coursework.,Go,Intermediate
Extensive production experience with REST API at scale.,REST API,Expert
Mentored junior developers on best practices in Node.js.,Node.js,Expert
Have read the documentation for Node.js but limited practical use.,Node.js,Beginner
Extensive production experience with Machine Learning at scale.,Machine Learning,Expert
Contributed to open-source projects related to PostgreSQL.,PostgreSQL,Expert
Basic understanding of CI/CD.,CI/CD,Beginner
Contributed to a project using React during an internship.,React,Intermediate
Basic understanding of Java.,Java,Beginner
Studied the fundamentals of Java in class.,Java,Beginner
Applied Redis to solve practical problems in coursework.,Redis,Intermediate
Mentored junior developers on best practices in GraphQL.,GraphQL,Expert
Beginner-level knowledge of Node.js.,Node.js,Beginner
Exposed to AWS during a university project.,AWS,Beginner
"Deep expertise in GraphQL, including advanced patterns and internals.",GraphQL,Expert
Have read the documentation for REST API but limited practical use.,REST API,Beginner
Designed the core architecture of a large-scale Deep Learning application.,Deep Learning,Expert
Five years of professional experience with Redis.,Redis,Expert
Basic understanding of Django.,Django,Beginner
Wrote a few small scripts using C++.,C++,Beginner
Designed the core architecture of a large-scale JavaScript application.,JavaScript,Expert
Built a full application using REST API.,REST API,Intermediate
Basic understanding of Next.js.,Next.js,Beginner
Applied CI/CD to solve practical problems in coursework.,CI/CD,Intermediate
Built and maintained mission-critical infrastructure with Flask.,Flask,Expert
Led a team building production systems with Node.js.,Node.js,Expert
Regularly use TensorFlow for day-to-day development tasks.,TensorFlow,Intermediate
Can independently build features using Deep Learning with some guidance.,Deep Learning,Intermediate
Only used C++ in a couple of homework assignments.,C++,Beginner
Can independently build features using CI/CD with some guidance.,CI/CD,Intermediate
Led a team building production systems with SQL.,SQL,Expert
Built a full application using Git.,Git,Intermediate
Optimized performance-critical systems built with REST API.,REST API,Expert
Applied TypeScript to solve practical problems in coursework.,TypeScript,Intermediate
Optimized performance-critical systems built with Redis.,Redis,Expert
Worked with Docker for several months on a team project.,Docker,Intermediate
Used AWS to build a personal project.,AWS,Intermediate
Published technical talks on advanced Go techniques.,Go,Expert
Developed features using Machine Learning in a small team.,Machine Learning,Intermediate
Implemented core functionality with React in a group project.,React,Intermediate
Implemented core functionality with C++ in a group project.,C++,Intermediate
Drove major performance improvements in a PostgreSQL-based system.,PostgreSQL,Expert
Built and maintained mission-critical infrastructure with Python.,Python,Expert
Have shipped a couple of side projects built with Django.,Django,Intermediate
Recognized internally as the go-to expert on Redis.,Redis,Expert
Used Django to build a personal project.,Django,Intermediate
Only used Python in a couple of homework assignments.,Python,Beginner
Some hands-on experience with NestJS in small assignments.,NestJS,Beginner
Solid working knowledge of Machine Learning from an internship.,Machine Learning,Intermediate
Built and maintained mission-critical infrastructure with NestJS.,NestJS,Expert
Studied the fundamentals of PostgreSQL in class.,PostgreSQL,Beginner
Trained the engineering team on advanced GraphQL concepts.,GraphQL,Expert
Built and maintained mission-critical infrastructure with Tailwind CSS.,Tailwind CSS,Expert
Built and maintained mission-critical infrastructure with Redis.,Redis,Expert
Completed an introductory course in CI/CD.,CI/CD,Beginner
Published technical talks on advanced AWS techniques.,AWS,Expert
Wrote a few small scripts using Java.,Java,Beginner
Applied Flask to solve practical problems in coursework.,Flask,Intermediate
Two years of hands-on experience with MongoDB.,MongoDB,Intermediate
Following a beginner course on Machine Learning right now.,Machine Learning,Beginner
Only used PyTorch in a couple of homework assignments.,PyTorch,Beginner
Extensive production experience with Deep Learning at scale.,Deep Learning,Expert
Only used PHP in a couple of homework assignments.,PHP,Beginner
"New to Java, still getting comfortable with the basics.",Java,Beginner
Built and maintained mission-critical infrastructure with C++.,C++,Expert
Familiar with Node.js through coursework.,Node.js,Beginner
Can independently build features using Java with some guidance.,Java,Intermediate
Owned the technical roadmap for a major Java migration.,Java,Expert
Beginner-level knowledge of Git.,Git,Beginner
Took an online tutorial on Django.,Django,Beginner
Can independently build features using Flask with some guidance.,Flask,Intermediate
Exposed to Java during a university project.,Java,Beginner
Have read the documentation for PHP but limited practical use.,PHP,Beginner
Owned the technical roadmap for a major JavaScript migration.,JavaScript,Expert
Started exploring PyTorch recently.,PyTorch,Beginner
Some hands-on experience with CI/CD in small assignments.,CI/CD,Beginner
Mentored junior developers on best practices in TypeScript.,TypeScript,Expert
Some hands-on experience with C++ in small assignments.,C++,Beginner
Trained the engineering team on advanced TensorFlow concepts.,TensorFlow,Expert
Took an online tutorial on Java.,Java,Beginner
Regularly use Deep Learning for day-to-day development tasks.,Deep Learning,Intermediate
Five years of professional experience with React.,React,Expert
Exposed to Next.js during a university project.,Next.js,Beginner
Trained the engineering team on advanced PostgreSQL concepts.,PostgreSQL,Expert
Solid working knowledge of PHP from an internship.,PHP,Intermediate
Optimized performance-critical systems built with TensorFlow.,TensorFlow,Expert
Basic understanding of TensorFlow.,TensorFlow,Beginner
Five years of professional experience with Linux.,Linux,Expert
Extensive production experience with Django at scale.,Django,Expert
Comfortable writing Go code for medium-sized applications.,Go,Intermediate
Developed features using Redis in a small team.,Redis,Intermediate
"Deep expertise in Machine Learning, including advanced patterns and internals.",Machine Learning,Expert
Designed the core architecture of a large-scale PyTorch application.,PyTorch,Expert
Exposed to SQL during a university project.,SQL,Beginner
Solid working knowledge of Docker from an internship.,Docker,Intermediate
Beginner-level knowledge of SQL.,SQL,Beginner
Mentored junior developers on best practices in REST API.,REST API,Expert
Took an online tutorial on PostgreSQL.,PostgreSQL,Beginner
Started exploring Redis recently.,Redis,Beginner
Basic understanding of JavaScript.,JavaScript,Beginner
Published technical talks on advanced Java techniques.,Java,Expert
Built and maintained mission-critical infrastructure with TypeScript.,TypeScript,Expert
Have read the documentation for Next.js but limited practical use.,Next.js,Beginner
"Deep expertise in Next.js, including advanced patterns and internals.",Next.js,Expert
Can independently build features using MongoDB with some guidance.,MongoDB,Intermediate
Beginner-level knowledge of Deep Learning.,Deep Learning,Beginner
Familiar with C++ through coursework.,C++,Beginner
Owned the technical roadmap for a major Deep Learning migration.,Deep Learning,Expert
"Deep expertise in MongoDB, including advanced patterns and internals.",MongoDB,Expert
Recognized internally as the go-to expert on React.,React,Expert
Some hands-on experience with Linux in small assignments.,Linux,Beginner
Architected scalable solutions using Node.js for enterprise clients.,Node.js,Expert
Took an online tutorial on Python.,Python,Beginner
Currently learning Linux as part of a bootcamp.,Linux,Beginner
Some hands-on experience with Node.js in small assignments.,Node.js,Beginner
Drove major performance improvements in a REST API-based system.,REST API,Expert
Developed features using Linux in a small team.,Linux,Intermediate
Took an online tutorial on TypeScript.,TypeScript,Beginner
Led a team building production systems with GraphQL.,GraphQL,Expert
Developed features using Next.js in a small team.,Next.js,Intermediate
Following a beginner course on C++ right now.,C++,Beginner
Familiar with Django through coursework.,Django,Beginner
Built a full application using Python.,Python,Intermediate
Wrote a few small scripts using Linux.,Linux,Beginner
Basic understanding of PHP.,PHP,Beginner
Can independently build features using AWS with some guidance.,AWS,Intermediate
Applied Java to solve practical problems in coursework.,Java,Intermediate
Currently learning REST API as part of a bootcamp.,REST API,Beginner
Led a team building production systems with Linux.,Linux,Expert
Wrote a few small scripts using CI/CD.,CI/CD,Beginner
Optimized performance-critical systems built with AWS.,AWS,Expert
Implemented core functionality with Flask in a group project.,Flask,Intermediate
Regularly use Docker for day-to-day development tasks.,Docker,Intermediate
Comfortable writing TensorFlow code for medium-sized applications.,TensorFlow,Intermediate
"Deep expertise in Docker, including advanced patterns and internals.",Docker,Expert
Exposed to Tailwind CSS during a university project.,Tailwind CSS,Beginner
Beginner-level knowledge of Tailwind CSS.,Tailwind CSS,Beginner
Comfortable writing Deep Learning code for medium-sized applications.,Deep Learning,Intermediate
Used Kubernetes extensively during a semester-long project.,Kubernetes,Intermediate
Completed an introductory course in PHP.,PHP,Beginner
Comfortable writing Machine Learning code for medium-sized applications.,Machine Learning,Intermediate
Beginner-level knowledge of AWS.,AWS,Beginner
Led a team building production systems with NestJS.,NestJS,Expert
Have shipped a couple of side projects built with Git.,Git,Intermediate
Wrote a few small scripts using JavaScript.,JavaScript,Beginner
Used React extensively during a semester-long project.,React,Intermediate
Took an online tutorial on Docker.,Docker,Beginner
Currently learning TypeScript as part of a bootcamp.,TypeScript,Beginner
Worked with Node.js for several months on a team project.,Node.js,Intermediate
Wrote a few small scripts using Redis.,Redis,Beginner
Comfortable writing Tailwind CSS code for medium-sized applications.,Tailwind CSS,Intermediate
Used Docker extensively during a semester-long project.,Docker,Intermediate
Contributed to a project using Docker during an internship.,Docker,Intermediate
"New to JavaScript, still getting comfortable with the basics.",JavaScript,Beginner
Worked with Machine Learning for several months on a team project.,Machine Learning,Intermediate
Took an online tutorial on AWS.,AWS,Beginner
Five years of professional experience with C++.,C++,Expert
One year of experience working with SQL.,SQL,Intermediate
